Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Financement dans FairCarboN
HAL,Kpemoua Tchodjowiè Israel,2024,Biogeochemical stability of additional carbon stored under alternative agricultural practices and organic waste product application: what do granulo-densimetric fractionation and Rock-Eval® thermal analysis tell us?,True,False
HAL,Delahaie Amicie,2024,Rock-Eval®-RMQS: Monitoring the Characteristics of SOM on the French Territory with Rock-Eval® 6 Thermal Analysis to Assess its Stability,True,False
HAL,Clivot Hugues,2024,Modélisation de l'évolution des stocks de carbone organique dans les sols : travaux et perspectives de recherche autour du modèle AMG,True,False
HAL,Soucémarianadin Laure,2024,The contribution of deep soil horizons to persistent organic carbon sequestration in French forest soils,True,False
HAL,Kpemoua Tchodjowiè Panaewazou Israël,2024,Les sols stockant du carbone sont-ils plus sensibles au changement climatique ?,True,False
HAL,Delahaie Amicie,2024,Complementarity and drivers of thermal and physical soil organic carbon fractions at the scale of mainland France,True,False
HAL,Rabot Eva,2024,Relevance of the organic carbon to clay ratio as a national soil health indicator,True,False
HAL,Poeplau Christopher,2024,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),True,False
HAL,Barre Pierre,2024,Microbial and plant-derived compounds both contribute to persistent soil organic carbon in temperate soils,True,False
HAL,Barré Pierre,2024,"Indicateurs de flux (> décennie) et stockage de carbone dans les sols agricoles, forestiers et urbains",True,False
HAL,Barré Pierre,2024,"La séquestration de carbone dans les sols agricoles, forestiers et urbains : état des lieux des méthodes d’évaluation et de quantification",True,False
HAL,Henneron Ludovic,2023,Bioenergetic control of soil carbon dynamics across depth.,True,False
HAL,Houballah Mojtaba,2023,Applying the AMG Soil Organic Carbon model to assess the carbon trends within French forests,True,False
HAL,Delahaie Amicie,2023,Elemental stoichiometry and Rock-Eval® thermal stability of organic matter in French topsoils,True,False
HAL,Pacini Lorenza,2023,A new approach to estimate soil organic carbon content targets in European croplands topsoils,True,False
HAL,Wang Qi,2023,"The AMG model coupled with Rock-Eval® analysis accurately predicts cropland soil organic carbon dynamics in the Tuojiang River Basin, Southwest China",True,False
HAL,Koorneef Guusje J,2023,Quantifying organic carbon in particulate and mineral-associated fractions of calcareous soils – A method comparison,True,False
HAL,Pacini Lorenza,2023,A new framework to estimate soil organic carbon targets in European croplands,True,False
HAL,Derrien Delphine,2023,Current controversies on mechanisms controlling soil carbon storage: implications for interactions with practitioners and policy-makers. A review,True,False
HAL,Kanari Eva,2023,Améliorer la précision des modèles de dynamique du carbone organique du sol à l'aide d'une méthode d'initialisation robuste,True,False
HAL,Kanari Eva,2023,Improving the accuracy of soil organic carbon models by initializing their pool partitioning using Rock-Eval thermal analysis,True,False
HAL,Kanari Eva,2023,Analyse de composés organiques purs par pyrolyse Rock-Eval et influence de la matrice minérale,True,False
HAL,Kanari Eva,2023,Peut-on calculer la valeur de paramètres Rock-Eval pour la couche 0-50 cm à partir des valeurs mesurées sur les couches 0-30 et 30-50 cm ?,True,False
HAL,Kanari Eva,2023,Can we calculate the value of Rock-Eval parameters for the 0-50 layer from the measured values on the layers 0-30 and 30-50 cm?,True,False
HAL,Menichetti Lorenzo,2023,Generic parameters of first-order kinetics accurately describe soil organic matter decay in bare fallow soils over a wide edaphic and climatic range,True,False
HAL,de Soto Isabel,2023,A model for field-based evidences of the impact of irrigation on carbonates in the tilled layer of semi-arid Mediterranean soils,True,False
HAL,de Soto Isabel Sonsoles,2023,Effect of irrigation on carbonate dynamics in a calcareous soil using isotopic determinations,True,False
HAL,Oliveira Miguel,2023,Different efficiencies of grain legumes in crop rotations to improve soil aggregation and organic carbon in the short-term in a sandy Cambisol,True,False
HAL,Derrien Delphine,2023,"Stocker du C dans les sols : quels mécanismes, quelles pratiques agricoles, quels indicateurs ?",True,False
